index,inat_id,common_name,scientific_name,trait,correct_answers,units
46255_adult mass,46255,White-tailed Antelope Squirrel,Ammospermophilus leucurus,adult mass,99.37,grams
47083_adult mass,47083,Six-banded Armadillo,Euphractus sexcinctus,adult mass,4850.0,grams
74731_adult mass,74731,Mexican Greater Funnel-eared Bat,Natalus mexicanus,adult mass,5.3,grams
552456_adult mass,552456,Paraguay Hairy Dwarf Porcupine,Coendou spinosus,adult mass,1250.39,grams
44899_adult mass,44899,Arizona Cotton Rat,Sigmodon arizonae,adult mass,172.3,grams
41900_adult mass,41900,Egyptian Mongoose,Herpestes ichneumon,adult mass,2950.01,grams
179993_adult mass,179993,Round-tailed Ground Squirrel,Xerospermophilus tereticaudus,adult mass,147.57,grams
40522_adult mass,40522,Eastern Red Bat,Lasiurus borealis,adult mass,13.0,grams
74481_adult mass,74481,Geoffroy's Cat,Leopardus geoffroyi,adult mass,4000.0,grams
42657_adult mass,42657,Big-eared Opossum,Didelphis aurita,adult mass,1149.875,grams
46283_adult mass,46283,Common Treeshrew,Tupaia glis,adult mass,159.0,grams
42007_adult mass,42007,Mountain Lion,Puma concolor,adult mass,48000.0,grams
45437_adult mass,45437,Southern Vlei Rat,Otomys irroratus,adult mass,114.45,grams
41396_adult mass,41396,Proboscis Bat,Rhynchonycteris naso,adult mass,4.14,grams
852245_adult mass,852245,Middle Eastern Molerat,Nannospalax ehrenbergi,adult mass,162.175,grams
42341_adult mass,42341,Northern Bushbuck,Tragelaphus scriptus,adult mass,43250.39,grams
40348_adult mass,40348,Cave Myotis,Myotis velifer,adult mass,10.995,grams
46180_adult mass,46180,Gunnison's Prairie Dog,Cynomys gunnisoni,adult mass,807.3,grams
43813_adult mass,43813,Brazilian Guinea Pig,Cavia aperea,adult mass,341.0,grams
74617_adult mass,74617,Cozumelan Golden Bat,Mimon cozumelae,adult mass,26.195,grams
74659_adult mass,74659,Northern Red Muntjac,Muntiacus vaginalis,adult mass,17611.59,grams
75115_adult mass,75115,Siamang,Symphalangus syndactylus,adult mass,10869.5,grams
74191_adult mass,74191,Tantalus Monkey,Chlorocebus tantalus,adult mass,4961.5,grams
42025_adult mass,42025,Serval,Leptailurus serval,adult mass,11999.96,grams
40281_adult mass,40281,Geoffroy's Bat,Myotis emarginatus,adult mass,9.28,grams
41627_adult mass,41627,African Civet,Civettictis civetta,adult mass,13666.67,grams
42809_adult mass,42809,Short-eared Brush-tailed Possum,Trichosurus caninus,adult mass,3115.06,grams
41824_adult mass,41824,Lesser Grison,Galictis cuja,adult mass,1000.0,grams
41789_adult mass,41789,American Badger,Taxidea taxus,adult mass,8000.0,grams
42733_adult mass,42733,Striped Possum,Dactylopsila trivirgata,adult mass,406.705,grams
43606_adult mass,43606,Gmelin's Woolly Lemur,Avahi laniger,adult mass,1093.355,grams
43043_adult mass,43043,Eastern European Hedgehog,Erinaceus concolor,adult mass,771.0,grams
46272_adult mass,46272,Southern Flying Squirrel,Glaucomys volans,adult mass,65.4,grams
40187_adult mass,40187,Yellow-footed Antechinus,Antechinus flavipes,adult mass,44.665,grams
43047_adult mass,43047,Amur Hedgehog,Erinaceus amurensis,adult mass,774.475,grams
43042_adult mass,43042,Common Hedgehog,Erinaceus europaeus,adult mass,777.95,grams
46969_adult mass,46969,Iberian mole,Talpa occidentalis,adult mass,87.53,grams
42405_adult mass,42405,African Buffalo,Syncerus caffer,adult mass,646332.99,grams
47107_adult mass,47107,Giant Anteater,Myrmecophaga tridactyla,adult mass,29531.83,grams
43439_adult mass,43439,Yucatán Black Howler Monkey,Alouatta pigra,adult mass,9386.03,grams
45863_adult mass,45863,European Garden Dormouse,Eliomys quercinus,adult mass,114.61,grams
47078_adult mass,47078,Pichi,Zaedyus pichiy,adult mass,1500.0,grams
44570_adult mass,44570,Australian Bush Rat,Rattus fuscipes,adult mass,127.29,grams
47075_adult mass,47075,Nine-banded Armadillo,Dasypus novemcinctus,adult mass,3949.01,grams
43119_adult mass,43119,Granada Hare,Lepus granatensis,adult mass,2323.94,grams
47014_adult mass,47014,Eastern Mole,Scalopus aquaticus,adult mass,74.6,grams
424254_adult mass,424254,Daubenton's bat,Myotis daubentonii,adult mass,7.902,grams
225754_adult mass,225754,Sonoma Chipmunk,Neotamias sonomae,adult mass,75.0,grams
41387_adult mass,41387,Gray Sac-winged Bat,Balantiopteryx plicata,adult mass,6.57,grams
45955_adult mass,45955,Prevost's Squirrel,Callosciurus prevostii,adult mass,400.0,grams
41974_adult mass,41974,Canada Lynx,Lynx canadensis,adult mass,9682.82,grams
852334_adult mass,852334,Mountain Viscacha,Lagidium viscacia,adult mass,1392.495,grams
45932_adult mass,45932,Dassie Rat,Petromus typicus,adult mass,212.0,grams
43339_adult mass,43339,Grévy's Zebra,Equus grevyi,adult mass,384000.0,grams
183164_adult mass,183164,Canyon Bat,Parastrellus hesperus,adult mass,3.56,grams
41147_adult mass,41147,California Leaf-nosed Bat,Macrotus californicus,adult mass,12.0,grams
47051_adult mass,47051,American Shrewmole,Neurotrichus gibbsii,adult mass,10.0,grams
41939_adult mass,41939,White-tailed Mongoose,Ichneumia albicauda,adult mass,3500.0,grams
74476_adult mass,74476,Western Yellow Bat,Lasiurus xanthinus,adult mass,12.2,grams
55908_adult mass,55908,Mountain Hare,Lepus timidus,adult mass,3027.715,grams
179988_adult mass,179988,Thirteen-lined Ground Squirrel,Ictidomys tridecemlineatus,adult mass,182.0,grams
40232_adult mass,40232,Tasmanian Devil,Sarcophilus harrisii,adult mass,6500.0,grams
41110_adult mass,41110,Seba's Short-tailed Bat,Carollia perspicillata,adult mass,16.4,grams
183166_adult mass,183166,Tricolored Bat,Perimyotis subflavus,adult mass,6.62,grams
42176_adult mass,42176,Common Red Brocket,Mazama americana,adult mass,23000.0,grams
44282_adult mass,44282,Field Vole,Microtus agrestis,adult mass,31.935,grams
42783_adult mass,42783,Greater Glider,Petauroides volans,adult mass,1141.0,grams
42236_adult mass,42236,Vicuña,Vicugna vicugna,adult mass,50000.0,grams
64102_adult mass,64102,Big-eared Woodrat,Neotoma macrotis,adult mass,219.5,grams
607212_adult mass,607212,Brown Agouti,Dasyprocta variegata,adult mass,4100.0,grams
46007_adult mass,46007,Andean Squirrel,Sciurus pucheranii,adult mass,803.0,grams
40192_adult mass,40192,Agile Antechinus,Antechinus agilis,adult mass,26.25,grams
42220_adult mass,42220,Mule Deer,Odocoileus hemionus,adult mass,57000.0,grams
42042_adult mass,42042,Caracal,Caracal caracal,adult mass,14000.0,grams
42228_adult mass,42228,Marsh Deer,Blastocerus dichotomus,adult mass,102500.0,grams
58393_adult mass,58393,Western Spotted Skunk,Spilogale gracilis,adult mass,612.0,grams
40695_adult mass,40695,Lesser Horseshoe Bat,Rhinolophus hipposideros,adult mass,4.585,grams
46179_adult mass,46179,Black-tailed Prairie Dog,Cynomys ludovicianus,adult mass,1125.0,grams
44395_adult mass,44395,White-footed Mouse,Peromyscus leucopus,adult mass,22.3,grams
43446_adult mass,43446,Lion-tailed Macaque,Macaca silenus,adult mass,6570.0,grams
180008_adult mass,180008,Rock Squirrel,Otospermophilus variegatus,adult mass,663.03,grams
