index,inat_id,common_name,scientific_name,trait,correct_answers,units
1224_mass,1224,Stone Partridge,Ptilopachus petrosus,mass,193.0,grams
73547_mass,73547,Madagascar Hoopoe,Upupa marginata,mass,66.9,grams
9611_mass,9611,Black Rosy-Finch,Leucosticte atrata,mass,25.2,grams
495992_mass,495992,Gray-breasted Spurfowl,Pternistis rufopictus,mass,706.1,grams
7057_mass,7057,Canvasback,Aythya valisineria,mass,1202.0,grams
5430_mass,5430,Lizard Buzzard,Kaupifalco monogrammicus,mass,278.9,grams
558609_mass,558609,Black-throated Canary,Crithagra atrogularis,mass,11.4,grams
8081_mass,8081,White-browed Woodswallow,Artamus superciliosus,mass,35.5,grams
8916_mass,8916,Bare-necked Fruitcrow,Gymnoderus foetidus,mass,275.5,grams
515243_mass,515243,Golden-fronted Greenlet,Pachysylvia aurantiifrons,mass,9.5,grams
9491_mass,9491,Lined Seedeater,Sporophila lineola,mass,9.8,grams
10090_mass,10090,Black-hooded Sierra-Finch,Phrygilus atriceps,mass,24.3,grams
979725_mass,979725,Yellow-throated Bush Sparrow,Gymnoris superciliaris,mass,24.0,grams
13808_mass,13808,Sakalava Weaver,Ploceus sakalava,mass,23.8,grams
73078_mass,73078,Taiwan Whistling-Thrush,Myophonus insularis,mass,117.0,grams
20836_mass,20836,Narina Trogon,Apaloderma narina,mass,67.7,grams
10070_mass,10070,Common Chaffinch,Fringilla coelebs,mass,23.8,grams
10438_mass,10438,Cinnamon Tanager,Schistochlamys ruficapillus,mass,31.2,grams
831_mass,831,Gray Partridge,Perdix perdix,mass,405.3,grams
54549_mass,54549,Chinstrap Penguin,Pygoscelis antarcticus,mass,4146.1,grams
15750_mass,15750,Fasciated Antshrike,Cymbilaimus lineatus,mass,35.8,grams
145187_mass,145187,White-breasted Sunbird,Cinnyris talatala,mass,8.1,grams
10290_mass,10290,Black-crowned Palm-Tanager,Phaenicophilus palmarum,mass,30.5,grams
18880_mass,18880,Blue-winged Parrot,Neophema chrysostoma,mass,46.1,grams
3616_mass,3616,Spinifex Pigeon,Geophaps plumifera,mass,94.3,grams
5286_mass,5286,Square-tailed Kite,Lophoictinia isura,mass,579.4,grams
13471_mass,13471,Buff-rumped Thornbill,Acanthiza reguloides,mass,7.7,grams
9613_mass,9613,Plain Mountain-Finch,Leucosticte nemoricola,mass,22.5,grams
116877_mass,116877,Black-capped Donacobius,Donacobius atricapilla,mass,36.8,grams
5167_mass,5167,Montagu's Harrier,Circus pygargus,mass,310.8,grams
73174_mass,73174,Rufous-winged Sparrow,Peucaea carpalis,mass,15.3,grams
8478_mass,8478,Tufted Jay,Cyanocorax dickeyi,mass,181.0,grams
980013_mass,980013,Buff-breasted Paradise Kingfisher,Tanysiptera sylvia,mass,49.6,grams
17090_mass,17090,Eared Pygmy-Tyrant,Myiornis auricularis,mass,5.3,grams
13927_mass,13927,Long-tailed Finch,Poephila acuticauda,mass,14.0,grams
1789_mass,1789,Pied Cuckoo,Clamator jacobinus,mass,79.4,grams
145085_mass,145085,Indian Blackbird,Turdus simillimus,mass,102.7,grams
201233_mass,201233,Italian Sparrow,Passer italiae,mass,28.3,grams
69696_mass,69696,Chestnut-capped Blackbird,Chrysomus ruficapillus,mass,32.0,grams
3780_mass,3780,Gray-breasted Seedsnipe,Thinocorus orbignyianus,mass,115.0,grams
12735_mass,12735,Mistle Thrush,Turdus viscivorus,mass,117.4,grams
12231_mass,12231,Noisy Miner,Manorina melanocephala,mass,60.2,grams
204544_mass,204544,White-winged Snowfinch,Montifringilla nivalis,mass,36.9,grams
20343_mass,20343,Brown Fish-Owl,Ketupa zeylonensis,mass,1105.0,grams
7072_mass,7072,Paradise Shelduck,Tadorna variegata,mass,1541.0,grams
12910_mass,12910,Pied Bushchat,Saxicola caprata,mass,15.2,grams
1360_mass,1360,Spotted Wood-Quail,Odontophorus guttatus,mass,303.8,grams
2079_mass,2079,Speckled Chachalaca,Ortalis guttata,mass,547.7,grams
12832_mass,12832,White-crowned Wheatear,Oenanthe leucopyga,mass,27.9,grams
13087_mass,13087,Slaty-backed Forktail,Enicurus schistaceus,mass,31.0,grams
4756_mass,4756,Turkey Vulture,Cathartes aura,mass,1518.2,grams
8912_mass,8912,Blue Cotinga,Cotinga nattererii,mass,57.2,grams
10212_mass,10212,Sooty-capped Chlorospingus,Chlorospingus pileatus,mass,21.0,grams
117214_mass,117214,Secretarybird,Sagittarius serpentarius,mass,4017.0,grams
15922_mass,15922,Dot-winged Antwren,Microrhopias quixensis,mass,7.9,grams
18217_mass,18217,Yellow-fronted Woodpecker,Melanerpes flavifrons,mass,57.8,grams
13092_mass,13092,White-crowned Forktail,Enicurus leschenaulti,mass,33.8,grams
2413_mass,2413,Laughing Kookaburra,Dacelo novaeguineae,mass,333.8,grams
5288_mass,5288,Black-breasted Kite,Hamirostra melanosternon,mass,1196.0,grams
1656_mass,1656,Madagascar Coucal,Centropus toulou,mass,166.4,grams
117139_mass,117139,Spot-flanked Barbet,Tricholaema lacrymosa,mass,22.9,grams
7486_mass,7486,Rock Wren,Salpinctes obsoletus,mass,16.4,grams
19893_mass,19893,Barred Owl,Strix varia,mass,711.5,grams
14301_mass,14301,Blue-backed Manakin,Chiroxiphia pareola,mass,16.8,grams
14881_mass,14881,Long-tailed Mockingbird,Mimus longicaudatus,mass,66.6,grams
11945_mass,11945,Brown-throated Martin,Riparia paludicola,mass,13.5,grams
4726_mass,4726,Yellow-headed Caracara,Milvago chimachima,mass,315.2,grams
12716_mass,12716,Eurasian Blackbird,Turdus merula,mass,102.7,grams
7938_mass,7938,Common Iora,Aegithina tiphia,mass,12.0,grams
203153_mass,203153,Great Tit,Parus major,mass,16.3,grams
10717_mass,10717,Yellow Cardinal,Gubernatrix cristata,mass,47.6,grams
14069_mass,14069,Red-browed Finch,Neochmia temporalis,mass,11.4,grams
11114_mass,11114,Sharp-tailed Streamcreeper,Lochmias nematura,mass,22.0,grams
3681_mass,3681,Crested Pigeon,Ocyphaps lophotes,mass,204.0,grams
793144_mass,793144,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,mass,6.0,grams
2988_mass,2988,Red-eyed Dove,Streptopelia semitorquata,mass,176.0,grams
15052_mass,15052,Arrow-marked Babbler,Turdoides jardineii,mass,78.2,grams
10227_mass,10227,Indigo Bunting,Passerina cyanea,mass,14.7,grams
8006_mass,8006,Cape Crow,Corvus capensis,mass,553.0,grams
4537_mass,4537,Black Noddy,Anous minutus,mass,112.4,grams
10274_mass,10274,Black-headed Grosbeak,Pheucticus melanocephalus,mass,47.1,grams
7920_mass,7920,Rufous Whistler,Pachycephala rufiventris,mass,22.5,grams
3658_mass,3658,Topknot Pigeon,Lopholaimus antarcticus,mass,496.4,grams
4609_mass,4609,Egyptian Plover,Pluvianus aegyptius,mass,82.0,grams
